"","Name","Database_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Direction"
"3769","SPTY2D1","ENSP00000337991.5",0.411583251499194,0.118566261791473,2.12274100872083,0.0361217092555938,0.0636753850674999,-4.82923103889754,"up"
"3770","DNAJB2","ENSP00000338019.5",-0.665753026629033,0.124882496537362,-7.9745014570193,1.96703985231846e-12,5.54339682275056e-11,17.8273562006609,"down"
"3771","STARD7","ENSP00000338030.5",0.0963932972659921,-0.0311717032020616,1.23049244609643,0.221255540809902,0.300913205086112,-6.28611813409668,"up"
"3772","SPRYD4","ENSP00000338034.5",0.216031021135962,-0.400711062331285,1.84573173374006,0.0677432175423529,0.109925236312674,-5.35982054008417,"up"
"3773","HBG2","ENSP00000338082.4",-1.32566140295484,-0.173988927542346,-5.05161593068501,1.8531811053465e-06,9.74641656478273e-06,4.39640583455134,"down"
"3774","TBXAS1","ENSP00000338087.7",0.0107100439555262,0.27970575730575,0.103576425056407,0.917702694614583,0.940833840007157,-7.03378885109827,"up"
"3775","TARS3","ENSP00000338093.3",-0.284163370250132,0.010169854341807,-2.68634334883238,0.00839700576240742,0.0178387357240737,-3.54358454854963,"down"
"3776","SNTB2","ENSP00000338191.4",-0.794495140553713,0.202619286135572,-9.73760249051624,2.33148397321831e-16,1.98584680525155e-14,26.7243660533443,"down"
"3777","FN1","ENSP00000338200.4",-0.159472146404122,-0.606182839117413,-0.612327980578359,0.541642061265106,0.628097238342687,-6.85167060221863,"down"
"3778","ZNF532","ENSP00000338217.4",-0.30387754013468,-0.0349131589491083,-3.2158847158652,0.00172792785946685,0.0044700132156557,-2.09929495235563,"down"
"3779","MTDH","ENSP00000338235.3",0.24718886099237,0.0658010705519866,2.5490524109093,0.0122442186190821,0.0248196780346702,-3.88145475508356,"up"
"3780","CDC42EP4","ENSP00000338258.3",-0.312086724544331,-0.0215794968713153,-2.79800558870835,0.00611657893290199,0.0135453724699766,-3.25743249020053,"down"
"3781","ROMO1","ENSP00000338293.4",0.364295086031491,0.132610138951486,2.97684387184692,0.00361444648021858,0.00852292100426217,-2.7783775763357,"up"
"3782","SGCD","ENSP00000338343.4",-1.17643144801959,0.209639096549415,-6.97142503893222,2.85553434272907e-10,4.18089614456126e-09,12.9434122150748,"down"
"3783","SNCA","ENSP00000338345.3",-1.50299173733864,-0.0920219427819911,-7.08404476429947,1.6492828785472e-10,2.5809048288617e-09,13.4811273075556,"down"
"3784","TNRC6B","ENSP00000338371.8",-0.127307305750837,0.0100673254093802,-1.67348011031168,0.0972022337009051,0.150298865365638,-5.65472109411072,"down"
"3785","UBA1","ENSP00000338413.6",0.436169453235097,0.113003968471059,3.69326618231481,0.000353083857133459,0.00109430223167056,-0.617250123076926,"up"
"3786","CYB5R3","ENSP00000338461.6",-0.615600842741513,0.239300542059899,-7.5003604841872,2.11514902914179e-11,4.14504128203201e-10,15.4949639372098,"down"
"3787","SUGCT","ENSP00000338475.4",-0.0061479884392538,-0.00350213845402729,-0.044239933620083,0.964797015139274,0.975054298543643,-7.03818236066897,"down"
"3788","HNRNPF","ENSP00000338477.3",0.509559336340601,-0.052599527686063,7.98196975282619,1.89239785773347e-12,5.38066158745736e-11,17.8653153042613,"up"
"3789","EPB41L2","ENSP00000338481.3",-0.430885238047507,0.0678562597138115,-3.79926326657651,0.000243330832820667,0.000789895042933143,-0.266591141495396,"down"
"3790","FNDC3B","ENSP00000338523.4",0.430777557045281,0.146904825954529,4.80978079077865,5.06196824286261e-06,2.44425138277422e-05,3.42788148755995,"up"
"3791","TTC33","ENSP00000338533.4",-0.344252035980085,0.0547577761097797,-3.27724025109656,0.00142078238111981,0.00375631506241265,-1.91803492374885,"down"
"3792","STX3","ENSP00000338562.4",0.243223933938828,0.0485290102406707,2.68321693613014,0.00847062531695839,0.0179651723755271,-3.55144348763742,"up"
"3793","GNL3L","ENSP00000338573.4",0.220826538680555,-0.0746296918854962,2.53801622087045,0.0126133572689575,0.025446459438071,-3.90792865733614,"up"
"3794","SMUG1","ENSP00000338606.3",-0.198046871634854,-0.0970169654790425,-2.00858629622482,0.0471432225440579,0.0804542294702854,-5.05619908472667,"down"
"3795","THEM6","ENSP00000338607.3",0.0639736298461391,0.0729891615623462,0.658528689805172,0.511637138454591,0.599782244582604,-6.82237109078872,"up"
"3796","TASP1","ENSP00000338624.4",0.0428430724353453,-0.0574375401790908,0.450704616985252,0.653130011422014,0.726473112599862,-6.9375015341669,"up"
